date,blog_name,domain_name,url
,Not Acceptable!,2bearbear.com,http://2bearbear.com/perth-city-to-bunbury-an-australian-road-trip/
,Not Acceptable!,2bearbear.com,http://2bearbear.com/taoyuan-attractions-taiwan-trip-day-9/
,Not Acceptable!,2bearbear.com,http://2bearbear.com/things-to-do-singapore/
,Not Acceptable!,2bearbear.com,http://2bearbear.com/turkey-trip-day-1-singapore-istanbul-ferry-canakkale/
2011-03-01,Entree Kibbles: Haunted Red House @ Pasir Ris,cavinteo.blogspot.com,http://cavinteo.blogspot.com/2011/03/haunted-red-house-pasir-ris.html
2016-05-01,Entree Kibbles: Bangkok 2016 - 6 Days 5 Nights Itinerary (Summary of a Relaxing Trip),cavinteo.blogspot.com,http://cavinteo.blogspot.com/2016/05/bangkok-2016-6-days-5-nights-itinerary.html
2016-08-01,"Entree Kibbles: Day One of My Three Days, Two Nights Penang Trip 2016",cavinteo.blogspot.com,http://cavinteo.blogspot.com/2016/08/day-one-of-my-three-days-two-nights.html
2016-12-01,"Entree Kibbles: 5 Days, 4 Nights Itinerary to Bandung, the Paris of Java @ Indonesia",cavinteo.blogspot.com,http://cavinteo.blogspot.com/2016/12/5-days-4-nights-itinerary-to-bandung.html
2017-05-01,Entree Kibbles: Holiday Villa Johor Bahru City Centre - Next to KSL Mall & Resort and 11 Century Hotel @ Johore [Malaysia],cavinteo.blogspot.com,http://cavinteo.blogspot.com/2017/05/holiday-villa-johor-bahru-city-centre.html
2017-07-01,"Entree Kibbles: 4 Days, 3 Nights Itinerary to Bali - The Island of the Gods @ Indonesia",cavinteo.blogspot.com,http://cavinteo.blogspot.com/2017/07/4-days-3-nights-itinerary-to-bali.html
2017-12-01,"Entree Kibbles: Kluang Itinerary - 2 Days, 1 Night Road Trip with a Rented Car @ The Heart of Johor [Malaysia] #kluang #itinerary",cavinteo.blogspot.com,http://cavinteo.blogspot.com/2017/12/kluang-itinerary-2-days-1-night-road.html
2018-01-01,Entree Kibbles: 5 Days Itinerary in Phuket (Pearl of the South) - Largest Island of Thailand,cavinteo.blogspot.com,http://cavinteo.blogspot.com/2018/01/5-days-itinerary-in-phuket-pearl-of.html
2018-05-01,"Entree Kibbles: Day 6 in Hokkaido (Summer): Taking the Subway, Had King Crab, Prayed at a Shrine, Had Soup Curry, Took the Vintage Tram - Inaugural Trip to Japan! ",cavinteo.blogspot.com,http://cavinteo.blogspot.com/2018/05/day-6-in-hokkaido-summer-japan.html
